ticker,median_dollar_volume,dollar_volume_rank,as_of_date,computed_month
SYK,47374887.379999995,128,2026-09-11,2026-09
NKE,47236317.175,129,2026-09-11,2026-09
BKNG,47130349.245,130,2026-09-11,2026-09
SCHW,46744585.769999996,131,2026-09-11,2026-09
XLB,46662862.05,132,2026-09-11,2026-09
ABT,46658891.052499995,133,2026-09-11,2026-09
MRK,46453602.07,134,2026-09-11,2026-09
BLK,46416182.03,135,2026-09-11,2026-09
SHOP,46055674.6175,136,2026-09-11,2026-09
TER,45980251.355000004,137,2026-09-11,2026-09
DDOG,45943912.335,138,2026-09-11,2026-09
MSTR,45808189.96000001,139,2026-09-11,2026-09
MCD,45469030.875,140,2026-09-11,2026-09
EMB,44591377.94,141,2026-09-11,2026-09
EWZ,44170436.87,142,2026-09-11,2026-09
MDT,44120549.6175,143,2026-09-11,2026-09
CBRS,43384094.825,144,2026-09-11,2026-09
LIN,43368377.269999996,145,2026-09-11,2026-09
CMCSA,43136425.625,146,2026-09-11,2026-09
COP,42662247.94499999,147,2026-09-11,2026-09
SHEL,42312009.46,148,2026-09-11,2026-09
XLC,42019756.74,149,2026-09-11,2026-09
NET,41981509.05,150,2026-09-11,2026-09
ETN,41754608.0,151,2026-09-11,2026-09
PWR,41453845.22,152,2026-09-11,2026-09
SPGI,41334358.4775,153,2026-09-11,2026-09
NVD,41302069.965,154,2026-09-11,2026-09
FIX,41278731.900000006,155,2026-09-11,2026-09
BA,40815821.47,156,2026-09-11,2026-09
CIEN,40772711.16,157,2026-09-11,2026-09
FXI,40550608.245000005,158,2026-09-11,2026-09
DASH,40107928.55,159,2026-09-11,2026-09
NU,39675643.015,160,2026-09-11,2026-09
CMG,39577807.575,161,2026-09-11,2026-09
VOO,39403404.44,162,2026-09-11,2026-09
CDNS,39316688.47,163,2026-09-11,2026-09
DHR,39064846.2475,164,2026-09-11,2026-09
VLO,38978170.92,165,2026-09-11,2026-09
AXP,38768439.06,166,2026-09-11,2026-09
MPC,38413661.96,167,2026-09-11,2026-09
WBD,37835995.599999994,168,2026-09-11,2026-09
BMY,37779550.315,169,2026-09-11,2026-09
